"28","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","","query_http_status","List of all HTTP status codes","","",""
"29","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","Y","Y","Y","Y","Y","","identifier_id","query_identifiers","List of queries for dropdowns in forms","","",""
"30","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","","query_letters","A-Z Letters listing","","",""
"31","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","","query_linux_commands","List of LINUX commands","","",""
"32","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","N","Y","","logged_id","query_logger","HTTP Access Logger","","",""
"33","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","Y","Y","Y","N","N","users","user_id","query_users","Users who can login into the system","SELECT\
	*\
FROM query_users\
WHERE\
	is_active='Y'\
	AND do_export='Y'\
;","","Framework users"
"34","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","Y","Y","","distribution_id","query_distributions","Downlodable distributions made on this framework","","",""
"36","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","Y","Y","","","query_cdn","Links from the CDN","","","SELECT * FROM `smarty_framework`.query_cdn WHERE subdomain_id IN(27, 0);"
"37","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","Y","Y","","category_id","query_subdomains_categories","Categories for Subdomains","","",""
"38","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","N","Y","","license_id","query_licenses","License Key Organizer","","",""
"39","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","","query_handlers","Handlers and regular expressions","","",""
"40","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","Y","Y","Y","Y","Y","articles","article_id","query_articles","Pieces of CMS Dynamic texts","","",""
"41","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","Y","Y","","message_id","query_messages","Error and other messages","","","SELECT * FROM query_messages WHERE subdomain_id IN(27, 0);"
"243","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","database_id","query_databases","","","",""
"244","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","user_id","query_informer","","","",""
"245","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","news_id","query_news","","","",""
"299","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","","query_logs","","","",""
"300","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","N","N","N","Y","N","N","Y","","","query_table_template","","","",""
"301","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","Y","N","Y","Y","Y","Y","","group_id","query_users_groups","User groups","","","Group permissions"
"302","27","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","0","Y","N","N","Y","Y","N","N","contacts","contact_id","query_contacts","Contacts received via contact-us pages","","",""
